region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,MinCapTag_1,MaxCapTag_1,CapRes_1,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr_x,Fixed_OM_Cost_per_MWyr_x,capex_mwh,Inv_Cost_per_MWhyr_x,Fixed_OM_Cost_per_MWhyr_x,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,regional_cost_multiplier,cap_recovery_years,wacc_real,ids,MISO_CleanPower,NY_CleanPower,PJM_CleanPower,SERC_CleanPower,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Resource_Type,Inv_Cost_per_MWyr_y,Inv_Cost_Inverter_per_MWyr,Inv_Cost_Solar_per_MWyr,Inv_Cost_Wind_per_MWyr,Inv_Cost_per_MWhyr_y,Fixed_OM_Cost_per_MWyr_y,Fixed_OM_Inverter_Cost_per_MWyr,Fixed_OM_Solar_Cost_per_MWyr,Fixed_OM_Wind_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr_y,SOLAR,WIND,STOR_DC_DISCHARGE,STOR_DC_CHARGE,STOR_AC_DISCHARGE,STOR_AC_CHARGE,Existing_Cap_Inverter_MW,Existing_Cap_Solar_MW,Existing_Cap_Wind_MW,Existing_Cap_Charge_DC_MW,Existing_Cap_Charge_AC_MW,Existing_Cap_Discharge_DC_MW,Existing_Cap_Discharge_AC_MW,Max_Cap_Inverter_MW,Min_Cap_Inverter_MW,Max_Cap_Charge_AC_MW,Min_Cap_Charge_AC_MW,Max_Cap_Discharge_AC_MW,Min_Cap_Discharge_AC_MW,Max_Cap_Charge_DC_MW,Min_Cap_Charge_DC_MW,Max_Cap_Discharge_DC_MW,Min_Cap_Discharge_DC_MW,Min_Cap_Solar_MW,Min_Cap_Wind_MW,Inv_Cost_Discharge_DC_per_MWyr,Inv_Cost_Charge_DC_per_MWyr,Inv_Cost_Discharge_AC_per_MWyr,Inv_Cost_Charge_AC_per_MWyr,Fixed_OM_Cost_Discharge_DC_per_MWyr,Fixed_OM_Cost_Charge_DC_per_MWyr,Fixed_OM_Cost_Discharge_AC_per_MWyr,Fixed_OM_Cost_Charge_AC_per_MWyr,Var_OM_Cost_per_MWh_Solar,Var_OM_Cost_per_MWh_Wind,Var_OM_Cost_per_MWh_Charge_AC,Var_OM_Cost_per_MWh_Discharge_AC,Max_Cap_Solar_MW,Max_Cap_Wind_MW,Inverter_Ratio_Wind,Inverter_Ratio_Solar,Var_OM_Cost_per_MWh_Charge_DC,Var_OM_Cost_per_MWh_Discharge_DC,Eff_Up_DC,Eff_Down_DC,Eff_Up_AC,Eff_Down_AC,EtaInverter,C_Rate_DC,C_Rate_AC
EIC,EIC_battery_moderate_0,Battery_*_Moderate,0,58,1,0,0,0,0,1,0,0,0,0,0,0.95,0,0,0.0,0.0,0,0,0.0,1,1.0,0,-1.0,-1,0,0,0,0,0,238220.323,19978,5955,141861.827,11897,3546,0.15,0.15,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,0.92,0.92,0,1,10,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,1.03,15,0.026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,standalone_storage,2560.0,5358.5403676904925,0.0,0.0,0,1442.5,3894.7500000000005,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,-1.0,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_0,LandbasedWind_Class1_Moderate_,0,69,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,117315.5,-1,0,0,0,0,0,879445.731,71014,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,14197.521,1.266,30,0.03,0,0,0,0,0,0.46646145,0,0,0,0,0,0,0,0,hybrid_wind,14197.521,5358.5403676904925,0.0,56816.479,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,117315.5,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_1,LandbasedWind_Class1_Moderate_,1,70,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,139803.7,-1,0,0,0,0,0,879445.731,73899,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,17082.104,1.266,30,0.03,0,0,0,0,0,0.506161809,0,0,0,0,0,0,0,0,hybrid_wind,17082.104,5358.5403676904925,0.0,56816.896,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,139803.7,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_2,LandbasedWind_Class1_Moderate_,2,71,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,114313.7,-1,0,0,0,0,0,879445.731,74083,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,17266.619,1.266,30,0.03,0,0,0,0,0,0.428973228,0,0,0,0,0,0,0,0,hybrid_wind,17266.619,5358.5403676904925,0.0,56816.381,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,114313.7,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_3,LandbasedWind_Class1_Moderate_,3,72,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,81237.6,-1,0,0,0,0,0,879445.731,82299,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,25482.635,1.266,30,0.03,0,0,0,0,0,0.470765114,0,0,0,0,0,0,0,0,hybrid_wind,25482.635,5358.5403676904925,0.0,56816.365000000005,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,81237.6,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_4,LandbasedWind_Class1_Moderate_,4,73,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,81092.2,-1,0,0,0,0,0,879445.731,73304,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,16487.938,1.266,30,0.03,0,0,0,0,0,0.369812936,0,0,0,0,0,0,0,0,hybrid_wind,16487.938,5358.5403676904925,0.0,56816.062000000005,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,81092.2,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_5,LandbasedWind_Class1_Moderate_,5,74,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,54453.3,-1,0,0,0,0,0,879445.731,82536,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,25719.606,1.266,30,0.03,0,0,0,0,0,0.434300929,0,0,0,0,0,0,0,0,hybrid_wind,25719.606,5358.5403676904925,0.0,56816.394,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,54453.3,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_6,LandbasedWind_Class1_Moderate_,6,75,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,82417.2,-1,0,0,0,0,0,879445.731,78040,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,21223.571,1.266,30,0.03,0,0,0,0,0,0.325287282,0,0,0,0,0,0,0,0,hybrid_wind,21223.571,5358.5403676904925,0.0,56816.429000000004,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,82417.2,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_7,LandbasedWind_Class1_Moderate_,7,76,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,26531.1,-1,0,0,0,0,0,879445.731,89449,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,32632.921,1.266,30,0.03,0,0,0,0,0,0.405135185,0,0,0,0,0,0,0,0,hybrid_wind,32632.921,5358.5403676904925,0.0,56816.079,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,26531.1,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
EIC,EIC_landbasedwind_class1_moderate_8,LandbasedWind_Class1_Moderate_,8,77,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,0.0,0.0,0,0,0.0,1,1.0,0,58187.4,-1,0,0,0,0,0,879445.731,85343,36613,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,None,0.0,0.05,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,28526.156,1.266,30,0.03,0,0,0,0,0,0.301312625,0,0,0,0,0,0,0,0,hybrid_wind,28526.156,5358.5403676904925,0.0,56816.844,0,1442.5,3894.7500000000005,0.0,35170.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.0,58187.4,-1,-1,0.15,0.15,0.95,0.95,0.95,0.95,0.967,0.25,0.25
